X,Y,Z,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8
0,0,0,0.000000,0.008889,0.008889,0.012571,0.008889,0.012571,0.012571,0.015396
0,0,2,0.001778,0.007111,0.009065,0.011383,0.009065,0.011383,0.012696,0.014443
0,0,4,0.003556,0.005333,0.009574,0.010366,0.009574,0.010366,0.013064,0.013655
0,0,6,0.005333,0.003556,0.010366,0.009574,0.010366,0.009574,0.013655,0.013064
0,0,8,0.007111,0.001778,0.011383,0.009065,0.011383,0.009065,0.014443,0.012696
0,0,10,0.008889,0.000000,0.012571,0.008889,0.012571,0.008889,0.015396,0.012571
0,2,0,0.001778,0.009065,0.007111,0.011383,0.009065,0.012696,0.011383,0.014443
0,2,2,0.002514,0.007330,0.007330,0.010057,0.009238,0.011521,0.011521,0.013422
0,2,4,0.003975,0.005622,0.007950,0.008889,0.009737,0.010517,0.011926,0.012571
0,2,6,0.005622,0.003975,0.008889,0.007950,0.010517,0.009737,0.012571,0.011926
0,2,8,0.007330,0.002514,0.010057,0.007330,0.011521,0.009238,0.013422,0.011521
0,2,10,0.009065,0.001778,0.011383,0.007111,0.012696,0.009065,0.014443,0.011383
0,4,0,0.003556,0.009574,0.005333,0.010366,0.009574,0.013064,0.010366,0.013655
0,4,2,0.003975,0.007950,0.005622,0.008889,0.009737,0.011926,0.010517,0.012571
0,4,4,0.005028,0.006410,0.006410,0.007542,0.010213,0.010959,0.010959,0.011658
0,4,6,0.006410,0.005028,0.007542,0.006410,0.010959,0.010213,0.011658,0.010959
0,4,8,0.007950,0.003975,0.008889,0.005622,0.011926,0.009737,0.012571,0.010517
0,4,10,0.009574,0.003556,0.010366,0.005333,0.013064,0.009574,0.013655,0.010366
0,6,0,0.005333,0.010366,0.003556,0.009574,0.010366,0.013655,0.009574,0.013064
0,6,2,0.005622,0.008889,0.003975,0.007950,0.010517,0.012571,0.009737,0.011926
0,6,4,0.006410,0.007542,0.005028,0.006410,0.010959,0.011658,0.010213,0.010959
0,6,6,0.007542,0.006410,0.006410,0.005028,0.011658,0.010959,0.010959,0.010213
0,6,8,0.008889,0.005622,0.007950,0.003975,0.012571,0.010517,0.011926,0.009737
0,6,10,0.010366,0.005333,0.009574,0.003556,0.013655,0.010366,0.013064,0.009574
0,8,0,0.007111,0.011383,0.001778,0.009065,0.011383,0.014443,0.009065,0.012696
0,8,2,0.007330,0.010057,0.002514,0.007330,0.011521,0.013422,0.009238,0.011521
0,8,4,0.007950,0.008889,0.003975,0.005622,0.011926,0.012571,0.009737,0.010517
0,8,6,0.008889,0.007950,0.005622,0.003975,0.012571,0.011926,0.010517,0.009737
0,8,8,0.010057,0.007330,0.007330,0.002514,0.013422,0.011521,0.011521,0.009238
0,8,10,0.011383,0.007111,0.009065,0.001778,0.014443,0.011383,0.012696,0.009065
0,10,0,0.008889,0.012571,0.000000,0.008889,0.012571,0.015396,0.008889,0.012571
0,10,2,0.009065,0.011383,0.001778,0.007111,0.012696,0.014443,0.009065,0.011383
0,10,4,0.009574,0.010366,0.003556,0.005333,0.013064,0.013655,0.009574,0.010366
0,10,6,0.010366,0.009574,0.005333,0.003556,0.013655,0.013064,0.010366,0.009574
0,10,8,0.011383,0.009065,0.007111,0.001778,0.014443,0.012696,0.011383,0.009065
0,10,10,0.012571,0.008889,0.008889,0.000000,0.015396,0.012571,0.012571,0.008889
2,0,0,0.001778,0.009065,0.009065,0.012696,0.007111,0.011383,0.011383,0.014443
2,0,2,0.002514,0.007330,0.009238,0.011521,0.007330,0.010057,0.011521,0.013422
2,0,4,0.003975,0.005622,0.009737,0.010517,0.007950,0.008889,0.011926,0.012571
2,0,6,0.005622,0.003975,0.010517,0.009737,0.008889,0.007950,0.012571,0.011926
2,0,8,0.007330,0.002514,0.011521,0.009238,0.010057,0.007330,0.013422,0.011521
2,0,10,0.009065,0.001778,0.012696,0.009065,0.011383,0.007111,0.014443,0.011383
2,2,0,0.002514,0.009238,0.007330,0.011521,0.007330,0.011521,0.010057,0.013422
2,2,2,0.003079,0.007542,0.007542,0.010213,0.007542,0.010213,0.010213,0.012317
2,2,4,0.004355,0.005896,0.008147,0.009065,0.008147,0.009065,0.010667,0.011383
2,2,6,0.005896,0.004355,0.009065,0.008147,0.009065,0.008147,0.011383,0.010667
2,2,8,0.007542,0.003079,0.010213,0.007542,0.010213,0.007542,0.012317,0.010213
2,2,10,0.009238,0.002514,0.011521,0.007330,0.011521,0.007330,0.013422,0.010057
2,4,0,0.003975,0.009737,0.005622,0.010517,0.007950,0.011926,0.008889,0.012571
2,4,2,0.004355,0.008147,0.005896,0.009065,0.008147,0.010667,0.009065,0.011383
2,4,4,0.005333,0.006652,0.006652,0.007749,0.008709,0.009574,0.009574,0.010366
2,4,6,0.006652,0.005333,0.007749,0.006652,0.009574,0.008709,0.010366,0.009574
2,4,8,0.008147,0.004355,0.009065,0.005896,0.010667,0.008147,0.011383,0.009065
2,4,10,0.009737,0.003975,0.010517,0.005622,0.011926,0.007950,0.012571,0.008889
2,6,0,0.005622,0.010517,0.003975,0.009737,0.008889,0.012571,0.007950,0.011926
2,6,2,0.005896,0.009065,0.004355,0.008147,0.009065,0.011383,0.008147,0.010667
2,6,4,0.006652,0.007749,0.005333,0.006652,0.009574,0.010366,0.008709,0.009574
2,6,6,0.007749,0.006652,0.006652,0.005333,0.010366,0.009574,0.009574,0.008709
2,6,8,0.009065,0.005896,0.008147,0.004355,0.011383,0.009065,0.010667,0.008147
